,0
25,"RT @kfcth: ชอบนั่น ชอบนี่ ก็รวมมาให้แล้ว
รวมความอร่อยให้ถึง 4 อย่าง แค่ 99 บาท 
จะชุดไก่วิงซ์แซ่บ หรือ ชุดไก่กรอบเนื้อล้วน ก็ฟินคุ้มเต็มอิ่…"
26,#KFC POPCORN CHICKEN IS CHICKEN WARTS.
27,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
28,@mllexchloeytb Hello! Je voulais savoir si ton dernier trou a l’oreille tu l’avais fait en bijouterie ou chez un pe… https://t.co/c8yS1jHUaB
29,"HP EliteBook 840 G2
Intel Core i5
4GB RAM 
500GB HDD
Backlit Keyboard
Windows 10 Pro/Office 2016
Ksh.27,000
📞072750… https://t.co/GggWRzzJvQ"
30,@raaamkaa Бивис
31,@Bloggasaurus Are we talking about #ChickenCohen? Looks like he has been back to his KFC to grease up his sleazy lips.
32,@KFC_UKI_Help Yeah that’s a lie- I’ve asked about 30 people now and they all hate them :(
33,"RT @Adam_Worldwide: KFC Cashier: Your total is R29.90 can you donate R2 for hope?

Me: https://t.co/v6vS0mBGaj"
34,Heroic dude live streams himself taking down 'knife thug' in KFC https://t.co/xK2e7eAMok https://t.co/58n1twkgYf
35,Só um balde de frango do KFC ou um daqueles lanches que o camarada deixa pra cortar o queijo com uma faca quente qu… https://t.co/qOHP44Z2Se
36,RT @Natashiiinhaa: Queria lanche de cheddar do kfc
37,@yumbrands @kfc @TellTheColonel @tacobellcare
38,RT @1bsousa1: Quero um KFC na Maia
39,@PontiacMadeDDG vlog last night had me craving KFC today .. Had to go get me some 🤣😭
40,RT @bitwriteUK: @KFC_UKI DON'T WANT HALAL CHICKEN THANKS.
41,I wish I spent as much time cleaning as kfc and maccies spend cleaning their ice machine🙄
42,"@wgb_1225 KFC☝️☝️

合うっしょ"
43,@BobbyBrexit1 @kfc Lol 😂
44,@ORA_12541 @CSantiago1001 @BnanaPowet @ClamsLaRock @whitneydawn @MorganJerkins food for thought in the way ten day… https://t.co/dgckLquCv0
45,@somersetlevel At least they're gonna get some dinner. The colonel is there with some @KFC https://t.co/o82KcZHuWr
46,"Can’t believe Lewis just went to KFC drivetrough, asked if they have any healthy options, goes with the lowest calo… https://t.co/38VBoxb5dH"
47,I just heard an @npratc story about the only KFC in the country that sells homemade flan AND I GREW UP GOING TO THA… https://t.co/VwkZxsmi6t
48,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
49,Catch up @KFC_UKI https://t.co/2vmERDxe6S
50,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
51,@Siphoncube75 If you don't want to tip go to Spaza shops or KFC these waiters don't get salary FOH with your fake s… https://t.co/PR9xRmbigR
52,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
53,「日本KFCの対応について大手外食チェーン業界内では、「店内飲食と価格が同じでは持ち帰り客の不満が逆にたまるのではないだろうか」との意見が上がる一方で」そういう愚かな客を相手にしなければ良い。～増税後も「店内、持ち帰り同一価格」、… https://t.co/6oCeLa0VZq
54,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
55,Dona das rede Frango Assado anuncia fusão com detentora de Pizza Hut e KFC https://t.co/cyuBNkws2a
56,RT @MMFlint: Hey @realDonaldTrump — I’ll be the 1st guest tonight on Seth Myers late nite show on NBC! I’ll have more exciting news for you…
57,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
58,@JidessLeGrand @HiSoyAgape *KFC
59,"Was eating mash and gravy from KFC last week and my helper looked at it and said "" o ja flour mos mo"" 😭"
60,@GertE72 @JinekLive @npo @McDonalds @kfc Heb je het over de mensen met geld of over mensen met minder geld.
61,@lydiamadeline10 I had to do that when I got new tires and I walked to KFC
62,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
63,"@joderdemierda 

-Primera Impresión: le caigo mal x acoplado
-Tu mote en mi cabeza: SELENE
-Cercania del 1-10: 8.5… https://t.co/nWxlboVEUk"
64,searching for mcdonald’s and kfc at this fcking hour. i’m so toxic
65,RT @jeyckrivera: Las papitas del kfc son las peores🥴 https://t.co/S967Ei8Vjp
66,"Dam, the guy is actually reading after a bucket of KFC https://t.co/OyiTbZDx5X"
67,The Taco Bell/KFC restaurants are hands-down the best combo fast food restaurants there are. Screw Long John Silver‘s and Pizza Hut😂🤘🏽
68,@hejinseook Kfc
69,It’s taking everything in me to not just go to McDonald’s or kfc right now
70,RT @VEJA: Dona das rede Frango Assado anuncia fusão com detentora de Pizza Hut e KFC https://t.co/kJ0QjDasWH
71,"Wow, who told me to go to KFC in town on a payday weekend 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️"
72,"RT @Adam_Worldwide: KFC Cashier: Your total is R29.90 can you donate R2 for hope?

Me: https://t.co/v6vS0mBGaj"
73,"RT @samberkhead: I’m at the kfc
I’m at the sephora 
I’m at the combination kfc and sephora https://t.co/sQwiZbBGkk"
74,"RT @KFC_jp: ＼レッドホッTチキン15周年🍗／
＃TT兄弟vsTT姉妹 チキンとサンドT決👊
TT姉妹にT票で『レッドホッTサンド1個無料券』がその場で15000名に当Tる❣

このT稿は #TT姉妹のレッドホッTサンド のT票✨
合計RT数で勝負🔥勝っT方のTく別(…"
75,Dona das rede Frango Assado anuncia fusão com detentora de Pizza Hut e KFC https://t.co/kJ0QjDasWH
76,RT @kfc: Corporate collaboration has never been so finger lickin’ good. Available at your nearest KFC. https://t.co/5iukSzEIdB
77,"@hejinseook Os do KFC, eu enjoei do Mc e do bk"
78,"RT Eater ""“What separates Sanders from the countless other Kentucky colonels is the fact that he went method into t… https://t.co/mg6tpI1wp1"
79,@hejinseook Kfc
80,"RT @kfcth: ชอบนั่น ชอบนี่ ก็รวมมาให้แล้ว
รวมความอร่อยให้ถึง 4 อย่าง แค่ 99 บาท 
จะชุดไก่วิงซ์แซ่บ หรือ ชุดไก่กรอบเนื้อล้วน ก็ฟินคุ้มเต็มอิ่…"
81,@AntonyHeath7 @KFC_UKI didn't say you insulted me did I? you're probably middle-aged and insulting a 13 year old. g… https://t.co/30bnvd9TY8
82,Yo @KFC_UKI  do u do a meal that only has original recipe chicken I don’t want no fries or a drink just chicken pls
83,babe &amp; kfc💗 https://t.co/okERQOO7pu
84,"RT @kfcth: ช็อกได้ ช็อกดี เริ่มต้นแค่ 29 บาท เข้มช็อกโก อัลมอนด์กรุบกรอบกว่าใครในย่านนี้ อยากรู้ว่าช็อกที่ดีนั้นเป็นไง มาเลยที่ KFC

#เข้ม…"
85,RT @cbarberan1: El día de ayer quitaron los 3 letreros gigantes de KFC que instalaron sin permiso entre el km12 y Comisariato Terranostra e…
86,RT @FeitsBarstool: Kathy Griffin Was The Most Contentious Interview In KFC Radio History https://t.co/12Gbkt310D
87,"""Female MCs wanna battle? Step up. I've cooked more birds than KFC"" #hiphop #rap #HIPHOPMUSIC"
88,RT @nastyasamboi: KFC has better nuggets than McDonald's I stan by KFC
89,RT @chivoumbie: @DadaGolda @augy_xx Tagged eating KFC at Javas boulevard😂
90,RT @kfc: Corporate collaboration has never been so finger lickin’ good. Available at your nearest KFC. https://t.co/5iukSzEIdB
91,i like that one movie passion of the rice
92,RT @Eater: “What separates Sanders from the countless other Kentucky colonels is the fact that he went method into the role of the colonelc…
93,"At the moment it’s a blink and you’ll miss it change, but a subtle alteration to KFC in Australia could have an imp… https://t.co/wcjGn2xHkU"
94,"RT @ThosaiThaiSong: McD &amp; KFC super hot chicken, ultra hot Korean ramen, cili padi fried rice, ghost pepper nasi kukus...for a country that…"
95,"@GrahamCommins Apologies for the delay, I was waiting for the answer for you. Nearest is in Eastleigh at 11am till… https://t.co/p7pmAWbePH"
96,@eisiou kalo kami harmonis dia ngajaknya ke kfc bu sekalian main perosotan disana. bingung saya pas hamil dia ngida… https://t.co/dmg8yozfLX
97,@DadaGolda @augy_xx Tagged eating KFC at Javas boulevard😂
98,"RT @FCBjuniorteam: JAAAA! Die #FCBAmateure besiegen den @KFC_Uerdingen mit 2:1. 🎉💪♥️

#MiaSanMia #FCBKFC https://t.co/YjOMbLOTPd"
99,@wrexham KFC's new fries are awful if not hot. So not worth having one delivered.
