,0
38,@8b_ms ご入隊ありがとうございます✨ #スパイシーヒーロー #カレーチキン隊 の入隊証明書 兼 クーポンをお届け😎 さらに！隊員番号の下1桁が3・8・1・4(スパイシー)の人、160(ヒーロー)名に、抽選でマックカード100… https://t.co/724xWYj384
39,@smith_tttt ご入隊ありがとうございます✨ #スパイシーヒーロー #スパイシービーフ隊 の入隊証明書 兼 クーポンをお届け😎 さらに！隊員番号の下1桁が3・8・1・4(スパイシー)の人、160(ヒーロー)名に、抽選でマッ… https://t.co/DXJDLkQnHi
40,"RT @CNBC: McDonald's is synonymous with fast-food in many parts of the world, but there is one country where it's failed to capture nationa…"
41,RT @josukekeke: O H AH OH  HH A HAVA H  AHEVEN MCDONALD https://t.co/8W5XK71E6N
42,@realDonaldTrump I didn't know McDonalds served cheap wine.
43,"RT @CNBC: McDonald's is synonymous with fast-food in many parts of the world, but there is one country where it's failed to capture nationa…"
44,@JINYUI679 ご入隊ありがとうございます✨ #スパイシーヒーロー #カレーチキン隊 の入隊証明書 兼 クーポンをお届け😎 さらに！隊員番号の下1桁が3・8・1・4(スパイシー)の人、160(ヒーロー)名に、抽選でマックカー… https://t.co/mjKkjRdz1C
45,@ushi210ushi ご入隊ありがとうございます✨ #スパイシーヒーロー #スパイシービーフ隊 の入隊証明書 兼 クーポンをお届け😎 さらに！隊員番号の下1桁が3・8・1・4(スパイシー)の人、160(ヒーロー)名に、抽選でマ… https://t.co/YFaojd3Dqw
46,私は #スパイシービーフ隊 に入隊して夏バテを乗り切る！あなたはどっち？選んでツイート&amp;もれなくクーポン付き入隊証明書が当たる！さらにマックカードが当たるチャンスも！？ #スパイシーヒーロー 7/31(水)発売！… https://t.co/GPAuDwvlUc
47,@aritumemoon ご入隊ありがとうございます✨ #スパイシーヒーロー #スパイシービーフ隊 の入隊証明書 兼 クーポンをお届け😎 さらに！隊員番号の下1桁が3・8・1・4(スパイシー)の人、160(ヒーロー)名に、抽選でマ… https://t.co/zX2cgswXLy
48,私は #スパイシービーフ隊 に入隊して夏バテを乗り切る！あなたはどっち？選んでツイート&amp;もれなくクーポン付き入隊証明書が当たる！さらにマックカードが当たるチャンスも！？ #スパイシーヒーロー 7/31(水)発売！… https://t.co/WpIZgFL8n0
49,"RT @HardDriveMag: Nintendo Executive Solemnly Reports Last N64 at Shitty McDonald’s Has Finally Stopped Working

https://t.co/HOkeCj4ITc"
